                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.47024,                 1.0521,                0.99858,                0.80058,                0.83508,                0.90147,                0.84464,                 0.3845,                0.72319,                0.92428,             0.00018877,             0.00018877,             0.00018877
                     37,                0.44719,                0.99371,                0.98771,                0.87057,                0.77949,                0.91176,                0.85315,                0.39977,                0.74597,                0.92883,             0.00018465,             0.00018465,             0.00018465
                     38,                 0.4928,                 1.0521,                 1.0196,                0.87267,                0.84755,                0.92447,                0.86381,                0.40002,                0.69982,                0.94799,             0.00018053,             0.00018053,             0.00018053
                     39,                 0.4659,                 1.0144,                0.99168,                0.78283,                0.89043,                0.93044,                0.87011,                0.38577,                0.71022,                0.93556,             0.00017641,             0.00017641,             0.00017641
                     40,                0.46078,                0.97826,                 1.0006,                0.82693,                0.86244,                0.93799,                0.87712,                0.40163,                0.69186,                0.92865,             0.00017229,             0.00017229,             0.00017229
                     41,                0.44633,                0.96988,                0.98736,                0.84826,                0.87659,                0.95585,                 0.8955,                0.38207,                0.62725,                0.91462,             0.00016817,             0.00016817,             0.00016817
                     42,                0.43505,                0.93012,                0.96828,                0.82025,                0.86879,                0.93504,                0.87686,                0.38616,                0.62145,                0.92813,             0.00016404,             0.00016404,             0.00016404
                     43,                0.45109,                0.95829,                0.98853,                0.85791,                0.88362,                0.95084,                0.88904,                0.37996,                0.56623,                0.91548,             0.00015992,             0.00015992,             0.00015992
                     44,                0.45554,                0.96369,                0.98642,                0.89601,                0.84855,                0.94833,                0.88779,                0.35646,                0.61299,                0.89182,              0.0001558,              0.0001558,              0.0001558
                     45,                0.42475,                0.90259,                0.97247,                0.80786,                0.90229,                0.92298,                0.86406,                0.37364,                0.67748,                 0.9232,             0.00015168,             0.00015168,             0.00015168
                     46,                0.42511,                0.89198,                0.96878,                0.90172,                0.84668,                0.92658,                0.86549,                0.39552,                0.64673,                0.94219,             0.00014756,             0.00014756,             0.00014756
                     47,                0.44678,                0.91789,                 0.9888,                0.90329,                0.84898,                0.93079,                0.87671,                0.38965,                0.61333,                0.93612,             0.00014344,             0.00014344,             0.00014344
                     48,                0.43648,                0.86876,                0.98259,                0.90163,                0.84106,                0.93098,                0.87478,                0.39052,                0.60329,                0.95304,             0.00013932,             0.00013932,             0.00013932
                     49,                0.42305,                0.84913,                0.96763,                0.90288,                0.83876,                0.94075,                0.88717,                0.37512,                0.55892,                0.93518,              0.0001352,              0.0001352,              0.0001352
                     50,                0.43058,                 0.8548,                0.97923,                0.85875,                0.88513,                0.95068,                 0.8933,                0.37164,                 0.5856,                0.92558,             0.00013108,             0.00013108,             0.00013108
                     51,                0.41518,                0.80184,                0.96124,                0.87842,                 0.9002,                0.95863,                0.90686,                0.36134,                0.53447,                   0.91,             0.00012696,             0.00012696,             0.00012696
                     52,                0.41917,                0.84127,                0.97124,                0.89502,                0.86788,                0.94844,                0.89074,                 0.3875,                0.59483,                0.93594,             0.00012284,             0.00012284,             0.00012284
                     53,                0.40242,                0.78973,                0.96643,                 0.8733,                0.85905,                0.94958,                0.89479,                0.38283,                0.59432,                0.92808,             0.00011871,             0.00011871,             0.00011871
                     54,                0.41065,                0.79369,                0.96877,                0.90483,                0.85225,                0.94786,                0.88961,                0.38063,                0.56189,                 0.9181,             0.00011459,             0.00011459,             0.00011459
                     55,                0.40428,                 0.8078,                0.96016,                0.85713,                0.91618,                0.95301,                0.89911,                0.36108,                0.56197,                0.91729,             0.00011047,             0.00011047,             0.00011047
                     56,                0.40729,                0.79526,                0.96579,                0.89876,                 0.9034,                0.95936,                0.90178,                0.38814,                0.56902,                0.94291,             0.00010635,             0.00010635,             0.00010635
                     57,                 0.3961,                0.78087,                0.96222,                0.92769,                0.87919,                0.94947,                0.89711,                 0.3813,                0.53331,                0.93211,             0.00010223,             0.00010223,             0.00010223
                     58,                0.40379,                0.75626,                0.95411,                0.90262,                0.91814,                0.96863,                0.91271,                0.36797,                0.49238,                0.92021,              9.811e-05,              9.811e-05,              9.811e-05
                     59,                0.39759,                0.74248,                0.95957,                0.89413,                0.89742,                0.96174,                0.90684,                0.37471,                0.49136,                0.93079,             9.3989e-05,             9.3989e-05,             9.3989e-05
                     60,                0.38225,                0.72548,                0.94713,                0.91673,                0.88217,                0.94666,                0.88875,                0.38212,                0.50312,                0.93779,             8.9868e-05,             8.9868e-05,             8.9868e-05
                     61,                0.40768,                0.76806,                 0.9743,                0.89382,                0.79257,                0.84354,                 0.8037,                0.37948,                0.52864,                0.92858,             8.5748e-05,             8.5748e-05,             8.5748e-05
                     62,                0.40031,                0.77358,                0.95931,                  0.925,                0.86094,                0.94965,                0.89898,                0.37058,                0.50617,                0.92391,             8.1627e-05,             8.1627e-05,             8.1627e-05
                     63,                0.37098,                0.70789,                0.94522,                0.94336,                0.85548,                0.94759,                0.89837,                0.35826,                0.49781,                0.91066,             7.7506e-05,             7.7506e-05,             7.7506e-05
                     64,                0.38022,                0.71257,                0.94682,                0.92289,                0.87426,                0.95845,                0.90417,                0.36462,                0.48703,                0.92705,             7.3385e-05,             7.3385e-05,             7.3385e-05
                     65,                0.37358,                0.70653,                0.94506,                0.90825,                0.87441,                0.96288,                0.90851,                0.37246,                0.52185,                0.93169,             6.9264e-05,             6.9264e-05,             6.9264e-05
                     66,                0.37011,                0.72994,                  0.937,                 0.9013,                0.91434,                0.96953,                0.91437,                0.36359,                0.53013,                0.91905,             6.5143e-05,             6.5143e-05,             6.5143e-05
                     67,                0.40524,                0.74231,                 0.9672,                0.92804,                0.89931,                0.96855,                0.91524,                0.35883,                0.52158,                0.92683,             6.1022e-05,             6.1022e-05,             6.1022e-05
                     68,                0.37703,                0.69697,                0.95087,                0.91523,                0.90337,                0.97128,                0.91511,                0.35982,                0.51825,                0.93018,             5.6901e-05,             5.6901e-05,             5.6901e-05
                     69,                0.37595,                0.67979,                0.94696,                0.92599,                0.90071,                 0.9737,                0.91606,                0.36597,                0.49543,                0.92563,             5.2781e-05,             5.2781e-05,             5.2781e-05
                     70,                 0.3839,                0.70365,                0.95766,                 0.9368,                0.86458,                0.96202,                0.90506,                0.37945,                0.48622,                0.93356,              4.866e-05,              4.866e-05,              4.866e-05
                     71,                0.24379,                0.76266,                0.84921,                0.90674,                0.87146,                0.96062,                0.90151,                0.39279,                0.60185,                0.94136,             4.4539e-05,             4.4539e-05,             4.4539e-05
                     72,                0.23912,                0.73283,                0.85248,                0.93038,                0.85647,                0.95834,                0.89802,                0.37401,                0.48507,                0.92897,             4.0418e-05,             4.0418e-05,             4.0418e-05
                     73,                 0.2299,                0.69403,                0.85359,                0.90536,                0.89456,                 0.9641,                0.90823,                0.36973,                0.50694,                0.92721,             3.6297e-05,             3.6297e-05,             3.6297e-05
                     74,                0.21773,                 0.6842,                 0.8284,                0.93112,                0.88753,                0.95936,                0.90943,                0.35817,                0.47893,                 0.9097,             3.2176e-05,             3.2176e-05,             3.2176e-05
                     75,                0.20844,                0.65697,                0.82934,                0.93762,                0.87719,                0.96179,                0.91107,                0.35943,                0.49108,                0.91406,             2.8055e-05,             2.8055e-05,             2.8055e-05
                     76,                0.21118,                0.66433,                0.83398,                0.92905,                0.89469,                0.96873,                0.91866,                0.35359,                0.47585,                0.90335,             2.3934e-05,             2.3934e-05,             2.3934e-05
                     77,                0.21192,                0.65902,                0.83742,                0.91995,                 0.9031,                0.96997,                0.92385,                0.34532,                0.45119,                0.89939,             1.9814e-05,             1.9814e-05,             1.9814e-05
                     78,                0.20952,                  0.644,                0.83438,                0.94511,                0.87796,                0.97235,                0.92571,                0.34884,                 0.4358,                0.90189,             1.5693e-05,             1.5693e-05,             1.5693e-05
                     79,                0.19813,                0.63041,                0.82315,                0.92623,                0.89902,                0.97531,                0.92578,                0.34851,                0.43595,                0.90369,             1.1572e-05,             1.1572e-05,             1.1572e-05
                     80,                 0.1999,                0.63252,                0.82233,                 0.9253,                 0.8983,                0.97466,                 0.9257,                0.34965,                0.43922,                0.90321,             7.4509e-06,             7.4509e-06,             7.4509e-06
